"id","date_part","cash_flow"
1501,"2010","-527484"
1501,"2011","-966344"
1501,"2012","-337695"
1501,"2013","347448"
1501,"2014","-201300"
1534,"2007","34559"
1534,"2008","59228"
1534,"2009","-18393"
1534,"2010","35305"
1534,"2011","229371"
1534,"2012","-8880"
1534,"2013","-17508"
1534,"2014","49175"
1611,"2008","-493618"
1611,"2009","-453963"
1611,"2010","389601"
1611,"2011","817765"
1611,"2012","-248709"
1611,"2013","727058"
1611,"2014","-44817"
1619,"2007","-210372"
1619,"2008","-174154"
1619,"2009","-280600"
1619,"2010","-550325"
1619,"2010","-370755"
1619,"2011","47516"
1619,"2012","735093"
1619,"2013","94366"
1619,"2014","-292095"
1635,"2012","-1855314"
1635,"2013","-673054"
1635,"2014","2030382"
1650,"2009","-1492703"
1650,"2010","-5048662"
1790,"2009","-84763"
1790,"2010","860181"
1790,"2011","-642508"
1790,"2012","1566310"
1790,"2013","144901"
1790,"2014","-136254"
1795,"2009","-335956"
1795,"2010","94184"
1795,"2011","-165553"
1809,"2011","-236862"
1809,"2012","795833"
1809,"2013","309831"
1809,"2014","-14157"
1818,"2012","-1282"
1818,"2013","-7504"
1818,"2014","2223256"
1847,"2014","-183357"
1856,"2010","1014548"
1856,"2011","132565"
1856,"2012","-1163401"
1856,"2014","604671"
1860,"2011","-154086"
1860,"2012","-6818"
1860,"2013","-4969"
1860,"2014","-278851"
1910,"2013","11941777"
1910,"2014","2547955"
1936,"2007","-9136"
1936,"2008","-23453"
1936,"2009","16246"
1936,"2010","-101240"
1936,"2011","-54568"
1936,"2012","353346"
1936,"2013","68493"
1936,"2014","902171"
2004,"2014","-106641"
2005,"2014","-86859"
2019,"2013","-177665"
2019,"2014","1306415"
2033,"2013","-404730"
2033,"2014","-703732"
2037,"2013","814216"
2037,"2014","3249504"
2038,"2013","-20140"
2039,"2012","140221"
2039,"2013","18890918"
2047,"2008","-229100"
2047,"2009","-1004808"
2047,"2010","-589610"
2047,"2011","-1162658"
2047,"2013","1321807"
2047,"2014","673136"
2093,"2014","20567"
2159,"2007","996712"
2159,"2009","12691"
2159,"2010","-1826944"
2159,"2011","438043"
2159,"2012","-449119"
2159,"2013","827755"
2159,"2014","546345"
2160,"2007","-602566"
2160,"2008","-5703772"
2160,"2009","-4452905"
2160,"2010","5661"
2160,"2011","290195"
2160,"2012","-352698"
2160,"2013","278187"
2160,"2014","340779"
2161,"2007","-43800"
2161,"2008","2278114"
2161,"2009","9454581"
2161,"2010","-1284791"
2161,"2011","5956941"
2161,"2012","8587383"
2161,"2013","-4822643"
2161,"2014","519051"
2162,"2007","408935"
2162,"2008","2279360"
2162,"2009","386483"
2162,"2010","304220"
2162,"2011","281553"
2162,"2012","-9425"
2162,"2013","386341"
2162,"2014","-128290"
2163,"2007","1194703"
2163,"2008","798090"
2163,"2009","25759"
2163,"2010","789801"
2163,"2011","293161"
2163,"2012","-343316"
2163,"2014","11777"
2164,"2007","-15774"
2164,"2008","-232592"
2164,"2009","-205732"
2164,"2010","425088"
2164,"2011","-425722"
2164,"2012","129167"
2164,"2013","19554"
2164,"2014","1469832"
2166,"2007","495968"
2166,"2008","-219437"
2166,"2009","-273348"
2166,"2010","178027"
2166,"2011","223779"
2166,"2012","-108917"
2166,"2013","-291711"
2166,"2014","-19038"
2167,"2007","-220379"
2167,"2008","286"
2167,"2009","150"
2167,"2010","329480"
2167,"2011","499243"
2167,"2012","-644871"
2167,"2013","-112555"
2167,"2014","-22345"
2168,"2007","-1743474"
2168,"2008","614410"
2168,"2009","-858348"
2168,"2011","937701"
2174,"2008","111302"
2176,"2008","-6601462"
2176,"2009","1805322"
